Group,date,price,sales
Bakery,2020-04-04,100.98,3.7
Bakery,2020-04-05,431.26,31.2
Bakery,2020-04-06,1046.97,71.9
Bakery,2020-04-07,2501.54,150.0
Bakery,2020-04-08,4004.21,257.4
Bakery,2020-04-09,4723.94,342.2
Bakery,2020-04-10,6634.94,519.9
Bakery,2020-04-11,5925.42,367.6
Bakery,2020-04-12,4874.22,359.1
Bakery,2020-04-13,4850.62,360.9
Bakery,2020-04-14,5339.53,380.1
Bakery,2020-04-15,5551.42,381.2
Bakery,2020-04-16,8044.09,598.4
Bakery,2020-04-17,6745.55,521.4
Bakery,2020-04-18,5221.099999999999,318.3
Bakery,2020-04-19,1869.59,117.7
Bakery,2020-04-20,2707.38,162.1
Bakery,2020-04-21,4150.28,289.3
Bakery,2020-04-22,3748.05,264.2
Bakery,2020-04-23,5650.57,419.7
Bakery,2020-04-24,6709.38,467.3
Bakery,2020-04-25,5848.19,437.0
Bakery,2020-04-26,4652.03,366.1
Bakery,2020-04-27,4178.4,333.2
Bakery,2020-04-28,5886.389999999999,471.9
Bakery,2020-04-29,5936.45,422.8
Bakery,2020-04-30,7345.57,663.3
Bakery,2020-05-01,8574.27,720.6
Bakery,2020-05-02,5623.45,411.4
Bakery,2020-05-03,5902.92,501.4
Bakery,2020-05-04,5490.8099999999995,453.3
Bakery,2020-05-05,5533.23,437.9
Bakery,2020-05-06,5477.97,496.7
Bakery,2020-05-07,9184.76,749.1
Bakery,2020-05-08,7717.33,639.8
Bakery,2020-05-09,6723.87,573.4
Bakery,2020-05-10,5865.19,493.2
Bakery,2020-05-11,5616.4,448.4
Bakery,2020-05-12,5196.58,433.6
Bakery,2020-05-13,4538.71,449.1
Bakery,2020-05-14,9387.66,712.7
Bakery,2020-05-15,7529.58,620.8
Bakery,2020-05-16,6312.15,519.4
Bakery,2020-05-17,5406.65,488.0
Bakery,2020-05-18,5070.0199999999995,369.4
Bakery,2020-05-19,5191.39,391.0
Bakery,2020-05-20,5188.28,423.5
Bakery,2020-05-21,6600.86,579.9
Bakery,2020-05-22,7110.71,599.5
Bakery,2020-05-23,5368.03,432.8
Bakery,2020-05-24,4801.14,466.9
Bakery,2020-05-25,5910.7,439.8
Bakery,2020-05-26,5846.74,468.3
Bakery,2020-05-27,4322.45,420.5
Bakery,2020-05-28,6730.55,502.0
Bakery,2020-05-29,6930.95,504.1
Bakery,2020-05-30,6191.26,496.8
Bakery,2020-05-31,4247.48,259.5
Bakery,2020-06-01,3850.36,334.5
Bakery,2020-06-02,3859.7799999999997,330.8
Bakery,2020-06-03,3213.74,246.4
Bakery,2020-06-04,5890.49,482.4
Bakery,2020-06-05,6619.41,575.4
Bakery,2020-06-06,4771.18,357.6
Bakery,2020-06-07,4327.0599999999995,329.8
Bakery,2020-06-08,4683.84,347.0
Bakery,2020-06-09,4475.7,382.4
Bakery,2020-06-10,3725.86,309.4
Bakery,2020-06-11,5056.98,433.1
Bakery,2020-06-12,4752.14,446.3
Bakery,2020-06-13,4897.3,441.3
Bakery,2020-06-14,4301.05,443.0
Bakery,2020-06-15,3785.34,313.2
Bakery,2020-06-16,3331.89,331.4
Bakery,2020-06-17,4220.0199999999995,313.6
Bakery,2020-06-18,6003.89,558.2
Bakery,2020-06-19,5032.69,512.6
Bakery,2020-06-20,5094.64,405.5
Bakery,2020-06-21,2897.9,342.9
Bakery,2020-06-22,4033.1,331.1
Bakery,2020-06-23,4810.51,402.1
Bakery,2020-06-24,3573.0099999999998,397.3
Bakery,2020-06-25,4317.01,429.2
Bakery,2020-06-26,4769.23,433.6
Bakery,2020-06-27,4019.96,375.8
Bakery,2020-06-28,3768.94,283.1
Bakery,2020-06-29,4711.7,368.6
Bakery,2020-06-30,4248.69,326.8
Bakery,2020-07-01,3715.44,300.8
Bakery,2020-07-02,5190.16,491.5
Bakery,2020-07-03,4945.92,458.2
Bakery,2020-07-04,3840.99,336.7
Bakery,2020-07-05,3391.69,364.2
Bakery,2020-07-06,4098.83,404.0
Bakery,2020-07-07,4052.74,341.8
Bakery,2020-07-08,4489.17,377.9
Bakery,2020-07-09,4643.45,514.7
Bakery,2020-07-10,4801.67,490.5
Bakery,2020-07-11,4938.46,381.5
Bakery,2020-07-12,3979.69,350.4
Bakery,2020-07-13,4477.04,407.3
Bakery,2020-07-14,3624.14,364.0
Bakery,2020-07-15,3455.37,333.5
Bakery,2020-07-16,5026.46,372.5
Bakery,2020-07-17,3469.11,320.2
Bakery,2020-07-18,4794.93,343.7
Bakery,2020-07-19,3379.8,301.4
Bakery,2020-07-20,4385.37,357.5
Bakery,2020-07-21,4188.46,265.7
Bakery,2020-07-22,3797.19,282.7
Bakery,2020-07-23,2004.5,207.29999999999998
Bakery,2020-07-24,4687.5199999999995,356.6
Bakery,2020-07-25,3195.46,299.3
Bakery,2020-07-26,3610.71,301.4
Bakery,2020-07-27,4256.59,281.2
Bakery,2020-07-28,3028.4,260.5
Bakery,2020-07-29,3400.09,228.8
Bakery,2020-07-30,4791.03,441.7
Bakery,2020-07-31,4564.71,439.4
Bakery,2020-08-01,4137.49,311.0
Bakery,2020-08-02,3557.98,308.5
Bakery,2020-08-03,4495.65,332.2
Bakery,2020-08-04,3369.86,262.9
Bakery,2020-08-05,3060.66,295.4
Bakery,2020-08-06,4832.83,428.6
Bakery,2020-08-07,5912.59,404.2
Bakery,2020-08-08,4009.96,342.1
Bakery,2020-08-09,3959.69,336.1
Bakery,2020-08-10,4371.7,337.0
Bakery,2020-08-11,2684.97,197.9
Bakery,2020-08-12,3647.64,262.8
Bakery,2020-08-13,4947.94,436.1
Bakery,2020-08-14,5013.9,362.1
Bakery,2020-08-15,3166.0299999999997,322.1
Bakery,2020-08-16,4003.48,312.1
Bakery,2020-08-17,4823.87,317.7
Bakery,2020-08-18,3659.86,272.0
Bakery,2020-08-19,4016.18,354.9
Bakery,2020-08-20,4249.71,375.6
Bakery,2020-08-21,4919.63,399.3
Bakery,2020-08-22,4864.5599999999995,388.3
Bakery,2020-08-23,3982.16,331.8
Bakery,2020-08-24,4807.25,324.2
Bakery,2020-08-25,4370.9,343.4
Bakery,2020-08-26,4592.43,318.4
Bakery,2020-08-27,5003.9,463.1
Bakery,2020-08-28,4836.39,427.7
Bakery,2020-08-29,3799.17,370.9
Bakery,2020-08-30,4756.72,435.8
Bakery,2020-08-31,3834.65,383.8
Bakery,2020-09-01,4144.85,418.2
Bakery,2020-09-02,4494.51,350.1
Bakery,2020-09-03,6057.4,615.8
Bakery,2020-09-04,4884.96,516.9
Bakery,2020-09-05,5594.25,590.7
Bakery,2020-09-06,5342.62,490.6
Bakery,2020-09-07,4863.26,425.3
Bakery,2020-09-08,4338.86,399.3
Bakery,2020-09-09,4073.27,494.8
Bakery,2020-09-10,4832.08,472.1
Bakery,2020-09-11,5583.47,538.8
Bakery,2020-09-12,5383.0199999999995,513.8
Bakery,2020-09-13,5018.37,386.0
Bakery,2020-09-14,5324.88,425.5
Bakery,2020-09-15,5024.84,455.0
Bakery,2020-09-16,6469.97,448.7
Bakery,2020-09-17,6440.41,660.3
Bakery,2020-09-18,7582.21,601.8
Bakery,2020-09-19,6422.13,477.9
Bakery,2020-09-20,6095.7,531.7
Bakery,2020-09-21,5716.35,537.2
Bakery,2020-09-22,5899.47,439.8
Bakery,2020-09-23,5550.79,514.4
Bakery,2020-09-24,7638.28,768.7
Bakery,2020-09-25,6616.17,704.8
Bakery,2020-09-26,7457.25,687.0
Bakery,2020-09-27,8231.61,834.2
Bakery,2020-09-28,6373.66,546.3
Bakery,2020-09-29,6467.5,549.4
Bakery,2020-09-30,7703.03,712.8
Bakery,2020-10-01,8827.96,806.8
Bakery,2020-10-02,8586.56,771.5
Bakery,2020-10-03,8729.32,697.1
Bakery,2020-10-04,7948.469999999999,675.8
Bakery,2020-10-05,8486.61,687.9
Bakery,2020-10-06,8962.99,711.0
